Date,Stake,Ward/Branch,# of Adult Volunteers,# of Youth Volunteers,Donation Bags Collected,Time to Complete (min),Routes Completed,Doors in Route,Time Spent,Bags/Door,Bags/Route,Total Volunteers,Neighbourhood,ID
2023-09-23,Edmonton North Stake,Belmead Ward,0,2,30,120,1,267,120,0.1123595505617977,30.0,2,Belmead,476
2023-09-23,Edmonton North Stake,Belmead Ward,2,1,18,59,1,275,65,0.0654545454545454,18.0,5,Belmead,477
2023-09-23,Edmonton North Stake,Belmead Ward,3,1,38,75,1,278,75,0.1366906474820144,38.0,31,Belmead,478
2023-09-23,Edmonton North Stake,Belmead Ward,1,0,22,120,1,237,120,0.0928270042194092,22.0,10,Belmead,479
2023-09-23,Edmonton North Stake,Belmead Ward,2,2,25,90,1,228,90,0.1096491228070175,25.0,22,Belmead,480
2023-09-23,Edmonton North Stake,Belmead Ward,2,1,24,150,1,216,150,0.1111111111111111,24.0,21,Belmead,481
2023-09-23,Edmonton North Stake,Belmead Ward,2,1,37,59,1,217,65,0.1705069124423963,37.0,5,Belmead,482
2023-09-23,Edmonton North Stake,Belmead Ward,2,1,22,59,1,234,65,0.094017094017094,22.0,5,Belmead,483
2023-09-23,Edmonton North Stake,Belmead Ward,2,1,26,59,1,237,65,0.1097046413502109,26.0,5,Belmead,484
2023-09-23,Edmonton North Stake,Belmead Ward,1,2,15,45,1,153,45,0.0980392156862745,15.0,12,Belmead,485
2023-09-23,Edmonton North Stake,Belmead Ward,2,1,16,59,1,300,65,0.0533333333333333,16.0,5,Belmead,486
2023-09-23,Edmonton North Stake,Belmead Ward,2,0,28,120,1,273,120,0.1025641025641025,28.0,20,Belmead,487
2023-09-23,Edmonton North Stake,Belmead Ward,2,1,29,59,1,201,65,0.1442786069651741,29.0,5,Belmead,488
2023-09-23,Edmonton North Stake,Belmead Ward,2,1,27,59,1,255,65,0.1058823529411764,27.0,5,Belmead,489
2023-09-23,Edmonton North Stake,Belmead Ward,2,0,18,60,1,207,60,0.0869565217391304,18.0,20,Belmead,490
2023-09-23,Edmonton North Stake,Belmead Ward,1,2,16,30,1,201,30,0.0796019900497512,16.0,12,Belmead,491
2023-09-23,Edmonton North Stake,Belmead Ward,1,1,30,105,1,219,105,0.136986301369863,30.0,11,Belmead,492
2023-09-23,Edmonton North Stake,Belmead Ward,2,1,30,59,1,154,65,0.1948051948051948,30.0,5,Belmead,493
2023-09-23,Edmonton North Stake,Belmead Ward,1,2,31,105,1,289,105,0.1072664359861591,31.0,12,Belmead,494
2023-09-23,Edmonton North Stake,Belmead Ward,2,1,53,59,1,320,65,0.165625,53.0,5,Belmead,495
2023-09-23,Edmonton North Stake,Belmead Ward,1,1,16,75,1,273,75,0.0586080586080586,16.0,11,Belmead,496
2023-09-23,Edmonton North Stake,Belmead Ward,2,1,33,59,1,293,65,0.1126279863481228,33.0,5,Belmead,497
2023-09-23,Edmonton North Stake,Belmead Ward,1,1,15,45,1,195,45,0.0769230769230769,15.0,11,Belmead,498
2023-09-23,Edmonton North Stake,Belmead Ward,2,1,15,59,1,155,65,0.0967741935483871,15.0,5,Belmead,499
2023-09-23,Edmonton North Stake,Belmead Ward,3,0,43,60,1,293,60,0.1467576791808873,43.0,30,Belmead,500
2023-09-23,Edmonton North Stake,Belmead Ward,2,3,38,150,1,305,150,0.1245901639344262,38.0,23,Belmead,501
2023-09-23,Edmonton North Stake,Belmead Ward,1,1,38,45,1,299,45,0.1270903010033444,38.0,11,Belmead,502
2023-09-23,Edmonton North Stake,Belmead Ward,1,1,30,60,1,273,60,0.1098901098901098,30.0,11,Belmead,503
2023-09-23,Edmonton North Stake,Belmead Ward,2,3,19,75,1,281,75,0.0676156583629893,19.0,23,Belmead,504
